Team,Season,W,L,P,P%,RW,ROW,GF,GA,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,PS W%
Colorado Avalanche,20002001,52,16,118,0.72,46,52,270,192,22.0,82.8,19.0,86.0,29.2,25.1,51.3,0.18604651162790697
Detroit Red Wings,20002001,49,20,111,0.677,39,49,253,202,22.1,85.7,20.3,88.3,32.3,27.1,54.4,0.023255813953488372
New Jersey Devils,20002001,48,19,111,0.677,43,48,295,195,22.9,84.7,21.0,87.5,31.6,24.7,49.4,0.1744186046511628
Ottawa Senators,20002001,48,21,109,0.665,45,48,274,205,18.6,86.4,17.3,89.2,30.2,27.3,48.5,0.0
Dallas Stars,20002001,48,24,106,0.6459999999999999,42,48,241,187,19.6,86.2,17.7,88.2,25.6,24.9,51.2,0.046511627906976744
St. Louis Blues,20002001,43,22,103,0.628,37,43,249,195,18.7,85.3,16.9,89.2,30.4,23.6,51.9,0.10465116279069768
Philadelphia Flyers,20002001,43,25,100,0.61,38,43,240,207,15.7,82.5,13.1,86.0,29.9,26.1,50.3,0.023255813953488372
Buffalo Sabres,20002001,46,30,98,0.598,42,46,218,184,16.1,88.0,14.8,89.8,26.9,26.8,50.0,0.08139534883720931
Pittsburgh Penguins,20002001,42,28,96,0.585,39,42,281,256,20.3,80.7,17.3,82.5,29.2,29.2,46.7,0.10465116279069768
Washington Capitals,20002001,41,27,96,0.585,39,41,233,211,21.3,84.1,19.3,85.7,28.6,27.7,55.2,0.023255813953488372
San Jose Sharks,20002001,40,27,95,0.579,33,40,217,192,14.0,86.2,11.6,88.0,27.6,26.5,48.3,0.023255813953488372
Edmonton Oilers,20002001,39,28,93,0.5670000000000001,34,39,243,222,14.8,83.8,13.8,87.2,26.2,26.1,51.1,0.023255813953488372
Los Angeles Kings,20002001,38,28,92,0.561,35,38,252,228,19.4,81.2,17.7,84.8,27.9,26.3,50.7,0.08139534883720931
Toronto Maple Leafs,20002001,37,29,90,0.5489999999999999,34,37,232,207,16.1,85.0,13.5,85.5,27.8,27.4,52.8,0.08139534883720931
Vancouver Canucks,20002001,36,28,90,0.5489999999999999,31,36,239,238,17.1,80.9,14.4,84.0,29.7,25.9,46.9,0.0
Carolina Hurricanes,20002001,38,32,88,0.537,32,38,212,225,18.9,87.2,14.7,88.9,27.0,26.9,54.9,0.023255813953488372
Detroit Red Wings,20012002,51,17,116,0.7070000000000001,41,51,251,187,20.3,86.0,18.4,88.6,31.0,26.3,51.4,0.17777777777777778
Boston Bruins,20012002,43,24,101,0.616,34,43,236,201,13.8,87.1,12.0,91.1,31.7,25.1,48.0,0.022222222222222223
Toronto Maple Leafs,20012002,43,25,100,0.61,40,43,249,207,15.5,84.5,13.8,87.2,28.5,24.9,51.8,0.1111111111111111
Colorado Avalanche,20012002,45,28,99,0.604,41,45,212,169,18.0,87.0,16.0,89.2,27.5,26.5,51.4,0.12222222222222222
San Jose Sharks,20012002,44,27,99,0.604,42,44,248,199,15.7,85.8,14.1,89.8,27.2,28.5,49.0,0.07777777777777778
St. Louis Blues,20012002,43,27,98,0.598,37,43,227,188,17.4,85.2,15.4,86.5,29.0,22.5,49.9,0.05555555555555555
Philadelphia Flyers,20012002,42,27,97,0.591,39,42,234,192,13.0,86.3,9.7,89.1,29.8,26.1,49.9,0.011111111111111112
New York Islanders,20012002,42,28,96,0.585,36,42,239,220,16.3,85.8,13.5,90.4,28.3,27.9,51.7,0.03333333333333333
Chicago Blackhawks,20012002,41,27,96,0.585,38,41,216,207,17.9,81.5,17.2,82.7,27.7,25.3,48.0,0.011111111111111112
New Jersey Devils,20012002,41,28,95,0.579,35,41,205,187,16.9,83.8,13.8,84.5,29.8,23.2,49.5,0.022222222222222223
Los Angeles Kings,20012002,40,27,95,0.579,37,40,214,190,20.7,86.6,19.0,88.0,25.7,25.0,51.2,0.03333333333333333
Phoenix Coyotes,20012002,40,27,95,0.579,36,40,228,210,15.6,83.2,13.8,85.4,26.6,28.6,48.2,0.011111111111111112
Vancouver Canucks,20012002,42,30,94,0.573,38,42,254,211,18.6,85.2,16.1,86.0,28.4,25.4,50.7,0.022222222222222223
Ottawa Senators,20012002,39,27,94,0.573,36,39,243,208,16.6,84.4,15.1,88.0,30.1,25.9,50.1,0.07777777777777778
Carolina Hurricanes,20012002,35,26,91,0.555,29,35,217,217,16.1,83.7,13.3,84.9,28.6,27.0,56.1,0.14444444444444443
Montréal Canadiens,20012002,36,31,87,0.53,34,36,207,209,14.9,86.3,13.6,88.8,25.5,31.7,52.8,0.06666666666666667
Ottawa Senators,20022003,52,21,113,0.6890000000000001,45,52,263,182,21.2,84.9,19.2,86.1,29.8,24.8,47.1,0.12359550561797752
Dallas Stars,20022003,46,17,111,0.677,41,46,245,169,19.0,85.5,17.1,88.2,30.1,25.3,50.2,0.06741573033707865
Detroit Red Wings,20022003,48,20,110,0.6709999999999999,41,48,269,203,23.8,85.4,22.6,88.3,29.8,28.8,52.2,0.0
New Jersey Devils,20022003,46,20,108,0.659,38,46,216,166,11.9,87.9,10.6,90.5,31.7,23.6,50.7,0.1797752808988764
Philadelphia Flyers,20022003,45,20,107,0.652,39,45,211,166,14.3,85.2,11.9,87.6,30.9,24.6,52.2,0.06741573033707865
Colorado Avalanche,20022003,42,19,105,0.64,35,42,251,194,18.7,82.5,17.1,83.8,29.1,28.3,47.9,0.033707865168539325
Vancouver Canucks,20022003,45,23,104,0.634,40,45,264,208,20.7,84.1,18.3,87.2,29.1,26.6,49.8,0.07865168539325842
St. Louis Blues,20022003,41,24,99,0.604,35,41,253,222,20.5,81.8,18.7,84.6,28.1,25.0,49.0,0.033707865168539325
Toronto Maple Leafs,20022003,44,28,98,0.598,37,44,236,208,17.6,86.8,15.6,89.4,26.3,29.5,50.7,0.033707865168539325
Minnesota Wild,20022003,42,29,95,0.579,34,42,198,178,14.2,86.0,12.8,89.0,25.4,28.5,46.8,0.0898876404494382
Anaheim Ducks,20022003,40,27,95,0.579,34,40,203,193,16.1,87.4,14.7,89.8,27.4,29.0,55.2,0.16853932584269662
Tampa Bay Lightning,20022003,36,25,93,0.5670000000000001,34,36,219,210,17.9,82.6,16.6,84.5,29.2,28.0,50.2,0.056179775280898875
Washington Capitals,20022003,39,29,92,0.561,33,39,224,220,17.2,81.3,16.0,83.3,27.1,29.9,49.2,0.02247191011235955
Edmonton Oilers,20022003,36,26,92,0.561,29,36,231,230,14.5,82.6,12.4,86.3,28.0,27.4,51.1,0.02247191011235955
Boston Bruins,20022003,36,31,87,0.53,30,36,245,237,18.1,82.7,14.8,85.3,32.1,28.3,49.6,0.011235955056179775
New York Islanders,20022003,35,34,83,0.506,30,35,224,231,15.1,83.5,13.8,86.4,29.6,28.3,51.1,0.011235955056179775
Detroit Red Wings,20032004,48,21,109,0.665,41,48,255,189,20.1,86.8,18.5,91.5,30.3,26.2,52.5,0.06741573033707865
Tampa Bay Lightning,20032004,46,22,106,0.6459999999999999,42,46,245,192,16.2,84.9,15.0,90.3,30.0,25.4,50.0,0.1797752808988764
San Jose Sharks,20032004,43,21,104,0.634,40,43,219,183,16.6,85.3,13.9,88.1,28.0,28.9,48.5,0.11235955056179775
Boston Bruins,20032004,41,19,104,0.634,33,41,209,188,16.0,83.6,11.7,85.7,30.5,27.8,52.1,0.033707865168539325
Toronto Maple Leafs,20032004,45,24,103,0.628,41,45,242,204,20.1,83.4,18.0,85.5,27.5,26.4,52.1,0.06741573033707865
Ottawa Senators,20032004,43,23,102,0.622,40,43,262,189,21.6,83.6,19.4,85.3,29.5,24.9,47.0,0.033707865168539325
Vancouver Canucks,20032004,43,24,101,0.616,32,43,235,194,15.0,86.0,12.8,87.4,29.0,26.6,51.2,0.033707865168539325
Philadelphia Flyers,20032004,40,21,101,0.616,38,40,229,186,20.7,83.3,19.8,85.3,29.4,25.5,50.3,0.12359550561797752
New Jersey Devils,20032004,43,25,100,0.61,36,43,213,164,16.4,85.3,14.7,88.3,29.7,24.4,49.2,0.011235955056179775
Colorado Avalanche,20032004,40,22,100,0.61,32,40,236,198,20.4,83.8,16.5,85.7,29.4,28.4,50.0,0.06741573033707865
Dallas Stars,20032004,41,26,97,0.591,38,41,194,175,15.8,85.8,12.5,87.5,26.8,23.2,51.4,0.011235955056179775
Calgary Flames,20032004,42,30,94,0.573,39,42,200,176,15.1,84.7,14.6,87.9,27.4,25.5,50.7,0.16853932584269662
Montréal Canadiens,20032004,41,30,93,0.5670000000000001,36,41,208,192,17.2,82.5,15.4,84.1,27.7,28.6,51.6,0.0449438202247191
St. Louis Blues,20032004,39,30,91,0.555,28,39,191,198,17.9,84.5,14.7,86.5,27.1,25.6,49.9,0.011235955056179775
Nashville Predators,20032004,38,29,91,0.555,31,38,216,217,16.9,81.8,15.0,85.8,27.2,28.5,48.9,0.02247191011235955
New York Islanders,20032004,38,29,91,0.555,36,38,237,210,16.7,85.5,15.2,88.6,28.5,27.4,49.3,0.011235955056179775
